"","COUNTRY","YEAR","UNEMP","INCOME","BEER","OTHER","SPIRITS","WINE","MORTALITY"
"299","Bulgaria","2012",12.3,8871,4.3,0.08,4.98,1.93,38.1299694814065
"300","Czechia","2012",7,15060,7.15,0,3.17,2.65,48.7093363858346
"301","Denmark","2012",7.8,21788,3.52,0,1.46,4.13,39.9644960695853
"302","Germany","2012",5.4,25700,5.83,0,2.46,3.47,32.2409797390114
"303","Estonia","2012",10,13124,5.55,1.62,8.53,1.26,81.1935914602312
"304","Ireland","2012",15.5,19473,5.42,0.81,2.08,3.23,36.1607161622099
"305","Greece","2012",24.5,15116,2.11,0.09,1.49,3.92,23.0866872335077
"306","Spain","2012",24.8,17292,4.41,0,2.2,2.21,37.1222160963171
"307","France","2012",9.8,23442,2.15,0.22,2.54,7.33,39.952707738924
"308","Croatia","2012",15.8,12109,4.57,0.4,1.25,5.7,49.5428790280739
"309","Italy","2012",10.7,20958,1.7,0,0.79,4.99,21.2284336777104
"310","Cyprus","2012",11.9,17945,3.48,0,4.47,2.61,12.082423418821
"311","Latvia","2012",15,10779,4.67,0.6,3.77,1.16,70.0923112569228
"312","Lithuania","2012",13.4,14172,6.6,1.83,5.62,1.1,91.87179908916
"313","Luxembourg","2012",5.1,30906,3.99,0,2.5,5.4,48.8921649092532
"314","Hungary","2012",11,12825,4.06,0,3.88,3.2,80.5375637719487
"315","Netherlands","2012",5.8,23859,4.34,0,1.57,3.37,18.2660774220899
"316","Austria","2012",4.9,25702,6.3,0,1.7,4.1,33.390354879082
"317","Poland","2012",10.1,13756,5.83,0,3.53,0.83,48.4667126470706
"318","Portugal","2012",15.8,16156,2.82,0.42,0.86,6.76,58.6896111756681
"319","Romania","2012",6.8,9106,5,0,1.1,2.8,112.181816818749
"320","Slovenia","2012",8.9,16189,4.58,0,0.87,5.5,20.8595584984691
"321","Slovakia","2012",14,14527,3.67,0.47,4.38,2.13,40.0407574188264
"322","Finland","2012",7.7,22673,4.27,0.96,2.15,1.89,32.5084292428057
"323","Sweden","2012",8,23462,2.63,0.12,1.05,3.43,17.2408539618968
"324","United Kingdom","2012",7.9,22717,3.46,0.84,2.16,3.3,17.0559967395264
"325","Belgium","2013",8.4,23948,4.6,0.44,1.42,3.87,32.7009323386729
"326","Bulgaria","2013",13,9248,4.26,0.09,4.87,1.53,37.9813948385355
"327","Czechia","2013",7,15463,7.15,0,3.09,2.6,46.8906953600047
"328","Denmark","2013",7.4,22128,3.51,0,1.57,4.35,38.1054163108402
"329","Germany","2013",5.2,25844,5.71,0,2.41,3.55,32.0617621208575
"330","Estonia","2013",8.6,13477,5.8,1.71,8.93,1.31,75.5667521166243
"331","Ireland","2013",13.8,18954,5,0.74,1.92,2.98,34.6194031924089
"332","Greece","2013",27.5,14424,2.12,0.09,1.5,3.81,22.0039988656816
"333","Spain","2013",26.1,17385,4.42,0,2.2,2.15,35.7441768230481
"334","France","2013",10.3,23703,1.8,0.21,2.5,7.13,38.2270095576138
"335","Croatia","2013",17.4,11562.4648898553,4.62,0.37,1.28,5.36,46.0523625980108
"336","Italy","2013",12.1,20678,1.7,0,0.79,4.86,20.6217091076163
"337","Cyprus","2013",15.9,17362,3.3,0,3.25,2.48,12.1032563687826
"338","Latvia","2013",11.9,11350,4.7,0.64,3.99,1.1,70.070990897858
