"","","","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Spain"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0"
"Sweden"," Data source"," All types","7.18","7.16","7.20","7.32","7.23","7.34","7.31"
"Sweden"," Data source"," Beer","2.61","2.62","2.64","2.65","2.63","2.70","2.67"
"Sweden"," Data source"," Wine","3.43","3.42","3.46","3.50","3.43","3.47","3.40"
"Sweden"," Data source"," Spirits","1.01","1.01","0.99","1.06","1.05","1.05","1.11"
"Sweden"," Data source"," Other alcoholic beverages","0.12","0.11","0.11","0.11","0.12","0.12","0.13"
"Switzerland"," Data source"," All types","9.43","9.62","9.62","9.74","9.87","9.99","10.01"
"Switzerland"," Data source"," Beer","3.03","3.17","3.17","3.17","3.17","3.17","3.18"
"Switzerland"," Data source"," Wine","4.54","4.58","4.58","4.69","4.70","4.82","4.94"
"Switzerland"," Data source"," Spirits","1.75","1.76","1.76","1.76","1.88","1.88","1.77"
"Switzerland"," Data source"," Other alcoholic beverages","0.12","0.12","0.12","0.12","0.12","0.12","0.12"
"Tajikistan"," Data source"," All types","0.91","0.90","0.87","0.79","0.76","0.70","0.67"
"Tajikistan"," Data source"," Beer","0.35","0.36","0.40","0.39","0.36","0.36","0.29"
"Tajikistan"," Data source"," Wine","0.01","0.01","0.02","0.02","0.02","0.02","0.02"
"Tajikistan"," Data source"," Spirits","0.56","0.53","0.45","0.38","0.38","0.32","0.37"
"Tajikistan"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0"
"Republic of North Macedonia"," Data source"," All types","4.83","4.68","3.75","3.81","3.74","3.74","3.76"
"Republic of North Macedonia"," Data source"," Beer","1.70","1.67","1.66","1.72","1.67","1.61","1.60"
"Republic of North Macedonia"," Data source"," Wine","2.25","2.15","1.23","1.23","1.24","1.26","1.26"
"Republic of North Macedonia"," Data source"," Spirits","0.84","0.84","0.83","0.83","0.81","0.85","0.87"
"Republic of North Macedonia"," Data source"," Other alcoholic beverages","0.03","0.03","0.03","0.03","0.02","0.02","0.02"
"Turkey"," Data source"," All types","1.29","1.40","1.44","1.40","1.53","1.51","1.49"
"Turkey"," Data source"," Beer","0.74","0.80","0.83","0.78","0.90","0.84","0.86"
"Turkey"," Data source"," Wine","0.11","0.13","0.13","0.13","0.12","0.12","0.13"
"Turkey"," Data source"," Spirits","0.44","0.47","0.48","0.49","0.51","0.55","0.50"
"Turkey"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0"
"Turkmenistan"," Data source"," All types","3.43","3.39","3.85","3.88","3.70","3.56","3.55"
"Turkmenistan"," Data source"," Beer","0.92","0.87","0.81","0.83","0.64","0.44","0.35"
"Turkmenistan"," Data source"," Wine","1.21","1.22","1.76","1.76","1.76","1.80","1.88"
"Turkmenistan"," Data source"," Spirits","1.31","1.30","1.28","1.29","1.30","1.31","1.32"
"Turkmenistan"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0"
"Ukraine"," Data source"," All types","5.82","5.75","6.22","7.11","8.18","8.77","8.81"
"Ukraine"," Data source"," Beer","2.46","2.46","2.94","3.21","3.27","3.31","3.36"
"Ukraine"," Data source"," Wine","0.31","0.32","0.32","0.38","0.48","0.58","0.60"
"Ukraine"," Data source"," Spirits","3.00","2.56","2.56","3.04","3.88","4.28","4.24"
"Ukraine"," Data source"," Other alcoholic beverages","0.04","0.40","0.40","0.48","0.55","0.61","0.61"
"United Kingdom of Great Britain and Northern Ireland"," Data source"," All types","9.81","9.82","9.69","9.65","9.76","10.02","10.22"
"United Kingdom of Great Britain and Northern Ireland"," Data source"," Beer","3.44","3.49","3.48","3.38","3.46","3.65","3.76"
"United Kingdom of Great Britain and Northern Ireland"," Data source"," Wine","3.50","3.48","3.38","3.36","3.30","3.30","3.30"
"United Kingdom of Great Britain and Northern Ireland"," Data source"," Spirits","2.21","2.13","2.07","2.09","2.16","2.17","2.25"
"United Kingdom of Great Britain and Northern Ireland"," Data source"," Other alcoholic beverages","0.66","0.73","0.76","0.83","0.84","0.90","0.91"
"Uzbekistan"," Data source"," All types","1.60","1.61","1.51","1.56","1.52","1.77","1.79"
"Uzbekistan"," Data source"," Beer","0.55","0.55","0.45","0.50","0.56","0.80","0.84"
"Uzbekistan"," Data source"," Wine","0.14","0.14","0.13","0.13","0.13","0.13","0.12"
"Uzbekistan"," Data source"," Spirits","0.91","0.91","0.92","0.92","0.83","0.84","0.83"
"Uzbekistan"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0"
