"","","","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Romania"," Data source"," All types","11.77","13.11","11.60","10.29","9.95","9.82","8.78","9.62","9.78","10.16"
"Romania"," Data source"," Beer","4.90","5.50","5.44","4.62","4.07","4.24","3.64","3.38","3.12","3.18"
"Romania"," Data source"," Wine","3.10","3.50","3.30","2.99","2.33","4.29","3.33","3.92","3.16","3.47"
"Romania"," Data source"," Spirits","2.40","2.90","1.90","0.90","1.28","1.29","1.82","2.32","3.50","3.52"
"Romania"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Russian Federation"," Data source"," All types","11.25","12.09","12.23","11.83","11.59","11.50","11.32","10.87","10.47","10.18"
"Russian Federation"," Data source"," Beer","4.20","4.66","4.72","4.11","3.66","3.47","3.10","2.92","2.63","2.18"
"Russian Federation"," Data source"," Wine","1.26","1.27","1.17","1.00","1.03","0.95","0.90","0.80","0.75","0.71"
"Russian Federation"," Data source"," Spirits","5.79","6.16","6.34","6.72","6.90","7.09","7.32","7.15","7.09","7.29"
"Russian Federation"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Serbia"," Data source"," All types","8.60","8.61","8.72","8.52","","","","","",""
"Serbia"," Data source"," Beer","2.90","3.60","3.74","3.81","","","","","",""
"Serbia"," Data source"," Wine","3.41","2.72","2.67","2.37","","","","","",""
"Serbia"," Data source"," Spirits","2.29","2.29","2.29","2.32","","","","","",""
"Serbia"," Data source"," Other alcoholic beverages","0.01","0.01","0.01","0.01","","","","","",""
"Slovakia"," Data source"," All types","10.69","11.43","10.63","10.31","10.83","10.03","9.85","10.78","10.73","11.06"
"Slovakia"," Data source"," Beer","3.92","3.81","3.94","3.83","3.85","3.99","4.38","4.53","4.32","4.47"
"Slovakia"," Data source"," Wine","2.14","2.02","1.79","2.16","1.56","1.33","1.46","1.59","1.48","1.49"
"Slovakia"," Data source"," Spirits","4.63","5.59","4.90","4.31","5.42","4.23","3.65","4.29","4.56","4.85"
"Slovakia"," Data source"," Other alcoholic beverages","0","0","0","0","0","0.48","0.36","0.37","0.37","0.25"
"Slovenia"," Data source"," All types","10.52","10.94","11.02","12.26","11.19","10.01","11.55","9.87","11.58","12.80"
"Slovenia"," Data source"," Beer","5.09","5.16","5.70","5.70","4.70","4.51","4.51","4.32","4.65","5.13"
"Slovenia"," Data source"," Wine","4.55","4.58","4.08","5.43","5.22","4.18","5.46","3.86","5.07","5.82"
"Slovenia"," Data source"," Spirits","0.88","1.20","1.24","1.13","1.09","1.11","1.58","1.69","1.87","1.84"
"Slovenia"," Data source"," Other alcoholic beverages","0","0","0","0","0.19","0.20","0","0","0","0.01"
"Spain"," Data source"," All types","9.99","10.24","11.05","11.86","11.92","11.68","11.35","10.74","12.35","11.84"
"Spain"," Data source"," Beer","4.98","4.92","5.09","5.15","4.98","4.10","4.11","3.83","3.91","3.79"
"Spain"," Data source"," Wine","2.28","2.44","2.78","3.43","3.67","3.89","3.82","4.02","4.20","4.53"
"Spain"," Data source"," Spirits","2.73","2.88","3.18","3.28","3.27","3.69","3.42","2.89","4.23","3.52"
"Spain"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Sweden"," Data source"," All types","7.30","6.90","6.90","6.50","6.50","6.60","6.90","6.90","6.60","6.20"
"Sweden"," Data source"," Beer","2.70","2.60","2.60","2.50","2.60","2.60","2.80","2.70","2.70","2.70"
"Sweden"," Data source"," Wine","3.30","3.10","3.10","2.90","2.90","2.80","2.90","2.80","2.50","2.20"
"Sweden"," Data source"," Spirits","1.20","1.10","1.10","1.00","1.00","1.20","1.20","1.40","1.40","1.30"
"Sweden"," Data source"," Other alcoholic beverages","0.10","0.10","0.10","0.10","0","0","0","0","0","0"
"Switzerland"," Data source"," All types","10.15","10.29","10.44","10.24","10.15","10.55","10.82","10.85","11.12","11.26"
"Switzerland"," Data source"," Beer","3.30","3.31","3.32","3.21","3.11","3.24","3.37","3.26","3.38","3.39"
"Switzerland"," Data source"," Wine","4.84","4.97","5.10","5.00","5.14","5.27","5.41","5.55","5.68","5.81"
"Switzerland"," Data source"," Spirits","1.89","1.89","1.90","1.90","1.79","1.92","1.92","1.93","1.93","1.94"
"Switzerland"," Data source"," Other alcoholic beverages","0.12","0.12","0.12","0.12","0.12","0.12","0.12","0.12","0.12","0.12"
